"Időbélyeg","Kijelentem, hogy elmúltam 18 éves, a fenti tájékoztatót elolvastam, és hozzájárulok, hogy válaszaimat kutatáshoz felhasználják.","Milyen nemű vagy?","Hány éves vagy?","Jelenleg olyan munkakörben dolgozol, amely pszichológiai támogatást, mentálhigiénés ellátást vagy tanácsadást foglal magában? (pl. terapeuta, pszichológus, coach, segítő vagy) - Opcionális","Mi jellemző rád az alábbiak közül?","Milyen gyakran használsz mesterséges intelligenciát? (ChatGPT, ...)","Milyen mesterséges intelligencia eszközöket használsz? (Jelölhetsz többet is)","Használtál-e már valaha AI-t pszichológiai témában, személyes dolgaid megbeszélésére, a saját működésed / szociális helyzetek megértésére, vagy akár ""terapeutaként""?","Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami szóba jöhet)","Mi az, ami általában arra vezet, hogy AI-t használj ilyen esetekben? (Válassz max hármat)","Amikor AI-t használsz, hogyan használod a leggyakrabban? (Jelöld mindet, ami megfelelő lehet)","Melyik írja le legjobban az AI használatával kapcsolatos élményed?","Mi alapján bízol egy AI által kapott válaszban? (Jelöld az összes megfelelőt)","Mikor nem bízol egy mesterséges intelligencia által adott válaszban, vagy hagyod figyelmen kívül azt? (Jelöld az összes szóba jöhetőt) ","Állítottál már fel személyes szabályokat vagy korlátokat a mesterséges intelligencia használatoddal kapcsolatban?","Mielőtt mesterséges intelligenciát önreflexióra használtál volna, mennyire érezted, hogy jól ismered magad, tudatos vagy?","Hogyan változott saját magad megértése az AI használatával? ","Kaptál már olyan visszajelzést AI-tól magaddal kapcsolatban, ami miatt megkérdőjelezted, újraértékelted azt, ahogy látod magad?","Amennyiben igen, hogy reagáltál erre? (Jelöld mindet, ami szóba jöhet) ","Általánosságban kijelentenéd-e, hogy az AI főleg: ","A tapasztalataid szerint az AI által kapott pszichológiai tanács ilyen:","Mi aggaszt leginkább a mesterséges intelligencia használatával kapcsolatban ebben a témában? (Opcionális, jelölj bármennyit)","Opcionális: van valami a mesterséges intelligenciával és az önreflexióval kapcsolatos tapasztalataidban, ami fontosnak tűnik, de nem került szóba? (Röviden / hosszan is kifejthető)","Opcionális: ha nyitott lennél folytatólagos részvételre a későbbiekben, itt megadhatod az email címed is."
"2026/01/27 2:28:30 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Gyorsabb megoldás: kevés az időm;Próbálok rájönni hogy egyáltalán mivel kell szakemberhez fordulni","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Problémamegoldóként","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel","Valamennyire / nem kőbe vésve","2. Valamennyire tudatos vagyok az érzéseimmel","Valamennyire tisztult","Igen","Kényelmetlenül éreztem magam, de kíváncsivá tett","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/27 2:34:04 du. CET","Igen, szeretnék részt venni a kutatásban","","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;deepseek","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","3. Átlagos szinten értem a saját működésem","Körülbelül ugyanaz maradt","Nem vagyok biztos benne / nem tudom","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","nem szeretnem egyaltalan hasznalni, mert utalom a techcégeket, a kornyezeti szennyezest, mindent amit az AI képvisel haha. eleinte napirend irasra hasznaltam, mert adhd-sknet nagy segitsegnek tunt, mert ez is ilyen izgalma novelty, de mivel elkezdett erezelmekrol is irni ezert hagyatkoztam ra jobban, de nem szeretnem hasznalni,,,kb. majdnem egy eve elhataroztam h. nem fogom, de amikor gyorsan kellett valami akkor kb. kethetente hasznalom lelki célokra, de ennyire se szeretnem, de tenyleg kialakul egy fuggoseg, ami iszonyat aggaszto",""
"2026/01/27 2:35:55 du. CET","Igen, szeretnék részt venni a kutatásban","","35 - 44","Igen","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT","Igen","Teendők, hétköznapi élet megszervezésére;Pszichológiai témákról tanulni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","3. Átlagos szinten értem a saját működésem","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;A privátszféra","Nagyon inspiralo tema!  lehet egy rövidebb teszttel (pl Jungi MBTI) összevetni ezeket a kérdéseket, a saját karakteremből kiindulva pl tudatosan/ nem tudatosan milyen personával ruházom fel az AI-t, most meg is kérdezem, hogy az eddigi kérdéseim alapján milyen kategoriaba sorolná magát  ( INTJ. :D  ) Izgi tema, hajra! ","reymeyerdori@gmail.com"
"2026/01/27 2:38:18 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kifogytam az ötletekből, megrekedtem;Nincs időm / lehetőségem szakember segítségére","Érzelmi megerősítésre","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","1. Nem igazán ismerem az érzéseim, vagyok tudatos velük","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta","Mindkettő megtörtént","egészen hasonló vagy jobb, mint a terápia","Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/27 2:39:25 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;Valamilyen anonim AI","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kifogytam az ötletekből, megrekedtem;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Megérteni magamat, másokat. Családi mintákat felismerni, megnevezni. Jobb mint bármelyik korábbi pszichológusom.","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem","","Nem vagyok biztos ebben / nem tudom","egészen hasonló vagy jobb, mint a terápia","Ez lehet butaság, de egy időben kifejezetten kerültem, hogy adatot adjak meg magamról, illetve a hangomat sem rögzítettem vele. Idővel előfordulhat ilyen jellegű visszaélés akár a személyiséggel is. Jelenleg ugye adathalászat többféle formája működik. Ha túl sokat használtam, felmerült hogy nem döntök addig, míg át nem beszéltem vele. Ez már káros. Túl sok idő el tud menni mélyebb fejtegetésekkel. Előfordul hogy csak azt dobja vissza javaslatnak, amit már írtam, így ki tud esni perspektíva.","","zida90@gmail.com"
"2026/01/27 3:25:34 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","18 - 24","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT;Joule","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 4:07:50 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini;Claude;Grok","Igen","Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni;munkával kapcsolatban","Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben;Szituációtól függött","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk","",""
"2026/01/27 4:16:03 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Valamennyire tisztult","Igen","Kényelmetlenül éreztem magam, de kíváncsivá tett","Mindkettő megtörtént","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/27 4:38:44 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Néha","ChatGPT","Igen","Döntések meghozásában","Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Nem vagyok biztos ebben / nem tudom","gyengébb, mint a terápia","Félrevezető, fals információk;Érzelmi függőség kialakulása;A privátszféra","",""
"2026/01/27 5:06:29 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Néha","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Önmagam, mintázataim megértésére;Pánikrohamnál figyelemelterelés","Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Valamennyire tisztult","Nem vagyok biztos benne / nem tudom","","Nem vagyok biztos ebben / nem tudom","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;Az AI, ha nem jó promptot fogalmazol meg, akkor úgyis azt mondja, amit hallani szeretnél: mindig igazat ad neked, mindig validál stb. Ez egy ponton már lehet káros is, ugyanis nem elég ha folyamatosan ""nyaliznak"" meg babusgatnak, hanem igenis ki kell mondani sokszor a nyers igazságot","",""
"2026/01/27 5:32:53 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni;Jog ,politika ,tudomány ,történelem, egészségügyi gyógyszer használati kérdések .","Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","1. Nem igazán ismerem az érzéseim, vagyok tudatos velük","Már sokkal jobban értem magam","Igen","Integráltam az AI-tól kapottakat, legalább részben","Megerősítette az önmagadról alkotott képed, narratíváid","egészen hasonló vagy jobb, mint a terápia","Az hogy bizonyos dolgokban emberek korlátozzák pl gyógyszer adagolása tanácsok vagy egyéb anyagok adagolása terén ","Jobban megért mint akármelyik emberi lény egész életemben .
És több tudást adott át mint ha még  10 szer elvégeztem volna a középiskolat.
Nagyon hasznos !","aadominik@gmail.com"
"2026/01/27 5:39:58 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","Gemini","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 6:16:08 du. CET","Igen, szeretnék részt venni a kutatásban","Nem akarom megadni","55 - 64","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kifogytam az ötletekből, megrekedtem","Problémamegoldóként","Erősen függ a helyzettől","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha ellentmond a saját megélt élményemmel","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta","Nem vagyok biztos ebben / nem tudom","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása","",""
"2026/01/27 6:48:46 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Néha","ChatGPT;Gemini","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 6:49:06 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","Claude;perplexity, lm studio, comfy ui","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 7:19:30 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Próbáltam már, de szinte soha","semmi","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 7:32:00 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Tartózkodnék a választól","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Próbáltam már, de szinte soha","Valamilyen anonim AI","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 8:33:36 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem érint a téma / nem szeretném megosztani","Hetente többször","ChatGPT;Gemini","Igen","Döntések meghozásában;Pszichológiai témákról tanulni","Kíváncsiság;alternatív meglátás keresése","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","egészen hasonló vagy jobb, mint a terápia","Félrevezető, fals információk;átlagolás, nehezen tud értelmezni specifikus helyzeteket","rendszeresen félre definiál önvédelmi viselkedéseket, az agressziót nem tekinti elfogadhatónak semmilyen kifejezésmódban, nem tud mit kezdeni az autonómiával","psss680@gmail.com"
"2026/01/27 8:58:26 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem vagyok biztos benne / nem tudom","","Mindkettő megtörtént","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/27 9:14:46 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Igen","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni","Kíváncsiság;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Érzelmi megerősítésre","Erősen függ a helyzettől","Ha egyezik a saját gondolkodásmódommal;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","Sokszor tudok rá támaszkodni ha nehéz èrzelmen megyek keresztül de nem akarom a környezetemet annyit terhelni, segít megèrteni és tisztázni, sokszor megnyugtat. Pont ezért jó szorongás oldó de nem akarom hogy a saját belső erőm helyett mindig rá támaszkodnak, ezért próbálom limitálni a használatát.",""
"2026/01/27 9:55:24 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni","Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett;Szituációtól függött","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk","",""
"2026/01/27 10:02:38 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm","Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására","Nem tudom, egyik sem igazán","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;A privátszféra","",""
"2026/01/28 6:02:01 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Igen","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Beallotpm, hogy 90% racionalitás sál válaszoljon. És ez csak egy gép,érzelmek nélkül ","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","Integráltam az AI-tól kapottakat, legalább részben","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk","",""
"2026/01/28 7:25:48 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","Döntések meghozásában;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel","Nem","3. Átlagos szinten értem a saját működésem","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk","",""
"2026/01/28 7:32:31 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","Claude;Perplexity-t használok, több modellje van, mindig a célnak megfelelőt választom.","Igen","Nehéz beszélgetésekre felkészülni;Egy kollégámat mentoráltam, mert látványosan alulteljesít, és a vezetőmmel egyeztetve beszélgettem vele, hogy feltárjuk az okokat. Ehhez írtam kérdéseket, és kértem segítséget az asszertív kommunikációhoz.","Kifogytam az ötletekből, megrekedtem;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Egyik sem igaz","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/28 8:56:54 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Igen","Nem érint a téma / nem szeretném megosztani","Próbáltam már, de szinte soha","ChatGPT","Nem","","","","","","","","","","","","","","","",""
"2026/01/28 9:02:16 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Érzelmi megerősítésre","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem","","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","","nagyhelgi@gmail.com"
