respondent_id,gender,age,is_professional,nd_status,ai_frequency,used_ai_psych,ai_experience,set_rules,prior_self_awareness,self_understanding_change,received_challenging_feedback,ai_vs_therapy,ai_general_effect,tool_chatgpt,tool_claude,tool_gemini,tool_copilot,tool_perplexity,tool_grok,tool_deepseek,prob_emotions,prob_decisions,prob_daily,prob_selfpatterns,prob_hardconvos,prob_hardletters,prob_learning_psych,driver_curiosity,driver_stuck,driver_structure,driver_noaccess,driver_speed,driver_intuition_plus_ai,use_feedback,use_brainstorm,use_secondopinion,use_problemsolve,use_guide,use_validation,trust_structured,trust_agrees_with_me,trust_newperspective,trust_multiple_options,trust_confident_tone,trust_generally_low,distrust_toogeneral,distrust_tooconfident,distrust_contradicts_me,distrust_oversimplifies,distrust_gut,distrust_rarely,react_reflected,react_integrated,react_uncomfortable_curious,react_ignored,react_situational,concern_overreliance,concern_misinformation,concern_emotional_dependency,concern_human_connection,concern_privacy,concern_cognitive_loss,concern_data_storage,concern_none
52,Nő,25 - 34,Igen,Nem érint a téma / nem szeretném megosztani,"Próbáltam már, de szinte soha",Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,"Igen, határozottan",4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
54,Nem akarom megadni,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,"Próbáltam már, de szinte soha",Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0
56,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Férfi,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Egyik sem igaz,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
58,Nő,25 - 34,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Néha,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Valamennyire tisztult,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
59,Nő,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Néha,Nem,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Férfi,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Nő,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Még sohasem gondoltam ilyesmire,5. Nagyon tudatos vagyok a belső működéseimmel,Már sokkal jobban értem magam,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
62,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Néha,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,3. Átlagos szinten értem a saját működésem,Már sokkal jobban értem magam,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
63,Nő,18 - 24,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Nem,2. Valamennyire tudatos vagyok az érzéseimmel,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
64,Nő,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Már sokkal jobban értem magam,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
65,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,Erősen függ a helyzettől,Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
66,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Valamennyire tisztult,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,Nő,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Erősen függ a helyzettől,Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,Nő,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
69,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
70,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Ritkán,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,nem gondoltam ilyenekre / nem tudom,Egyik sem igaz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
71,Férfi,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Nem,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,nem gondoltam ilyenekre / nem tudom,Egyik sem igaz,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,3. Átlagos szinten értem a saját működésem,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,Férfi,45 - 54,Nem,Nem érint a téma / nem szeretném megosztani,Hetente többször,Nem,Főként a saját gondolkodásom tisztázására használom az AI-t,Nem,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
74,Nő,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia",Egyik sem igaz,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
75,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Erősen függ a helyzettől,Nem,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia",Mindkettő megtörtént,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,Férfi,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,2. Valamennyire tudatos vagyok az érzéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem vagyok biztos benne / nem tudom,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
77,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,"Próbáltam már, de szinte soha",Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,2. Valamennyire tudatos vagyok az érzéseimmel,Jobban összezavarodtam tőle,Nem,"gyengébb, mint a terápia",Egyik sem igaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
78,Férfi,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Ritkán,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",3. Átlagos szinten értem a saját működésem,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia",Egyik sem igaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
79,Nő,35 - 44,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,2. Valamennyire tudatos vagyok az érzéseimmel,Körülbelül ugyanaz maradt,Nem vagyok biztos benne / nem tudom,nem gondoltam ilyenekre / nem tudom,Egyik sem igaz,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
80,Férfi,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Már sokkal jobban értem magam,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0
81,Férfi,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Valamennyire tisztult,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Nő,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Már sokkal jobban értem magam,Igen,"egészen hasonló vagy jobb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
83,Nő,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Néha,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
84,Nő,35 - 44,Nem,Nem érint a téma / nem szeretném megosztani,Néha,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,4. Meglehetősen jól ismerem magam,Nem volt rá hatással / nem tudok erre válaszolni,Nem,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
85,Férfi,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,2. Valamennyire tudatos vagyok az érzéseimmel,Valamennyire tisztult,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
86,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem vagyok biztos benne / nem tudom,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
87,Férfi,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Néha,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia",Egyik sem igaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
88,Férfi,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,Nő,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia",Mindkettő megtörtént,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
90,Férfi,35 - 44,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Már sokkal jobban értem magam,Igen,"gyengébb, mint a terápia",Mindkettő megtörtént,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
91,Férfi,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Nem,3. Átlagos szinten értem a saját működésem,Valamennyire tisztult,Igen,nem gondoltam ilyenekre / nem tudom,Mindkettő megtörtént,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
92,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Már sokkal jobban értem magam,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
93,Nő,35 - 44,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Hetente többször,Nem,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Még sohasem gondoltam ilyesmire,5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem vagyok biztos benne / nem tudom,"gyengébb, mint a terápia",Egyik sem igaz,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
94,Férfi,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
95,Nő,45 - 54,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Egyik sem igaz,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
96,Férfi,45 - 54,Igen,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Nem,Erősen függ a helyzettől,Nem,4. Meglehetősen jól ismerem magam,Nem volt rá hatással / nem tudok erre válaszolni,Nem,nem gondoltam ilyenekre / nem tudom,Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
97,Nő,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia","Megkérdőjelezte, újraértékelte azt",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
98,Nő,25 - 34,Nem,Nem érint a téma / nem szeretném megosztani,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
99,Férfi,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,3. Átlagos szinten értem a saját működésem,Körülbelül ugyanaz maradt,Igen,"bizonyos aspektusaiban hasonló, mint a terápia",Mindkettő megtörtént,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
100,Nő,35 - 44,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Még sohasem gondoltam ilyesmire,4. Meglehetősen jól ismerem magam,Már sokkal jobban értem magam,Igen,"bizonyos aspektusaiban hasonló, mint a terápia",Mindkettő megtörtént,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
101,Nő,25 - 34,Nem,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Valamennyire tisztult,Nem,"bizonyos aspektusaiban hasonló, mint a terápia",Mindkettő megtörtént,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
